,dt,sensor_std,integration_method
0,1.334627640247345,3.014947161078453,RK4
1,0.7850754469633102,0.38075553476810453,RK4
2,0.1956353195011616,1.6250119455158711,RK1
3,0.1956353195011616,1.6250119455158711,RK1
4,0.1956353195011616,1.6250119455158711,RK1
5,0.1956353195011616,1.6250119455158711,RK1
6,0.1956353195011616,1.6250119455158711,RK1
7,0.1956353195011616,1.6250119455158711,RK1
8,0.1956353195011616,1.6250119455158711,RK1
9,0.1956353195011616,1.6250119455158711,RK1
10,0.1956353195011616,1.6250119455158711,RK1
11,0.1956353195011616,1.6250119455158711,RK1
12,0.1956353195011616,1.6250119455158711,RK1
13,0.1956353195011616,1.6250119455158711,RK1
14,0.1956353195011616,1.6250119455158711,RK1
15,0.1956353195011616,1.6250119455158711,RK1
16,0.1956353195011616,1.6250119455158711,RK1
17,0.1956353195011616,1.6250119455158711,RK1
18,0.1956353195011616,1.6250119455158711,RK1
19,0.1956353195011616,1.6250119455158711,RK1
20,0.1956353195011616,1.6250119455158711,RK1
21,0.1956353195011616,1.6250119455158711,RK1
22,0.1956353195011616,1.6250119455158711,RK1
23,0.1956353195011616,1.6250119455158711,RK1
24,0.1,0.6134870743036185,RK1
25,0.1,0.6134870743036185,RK1
26,0.1,0.6134870743036185,RK1
27,0.1,0.6134870743036185,RK1
28,0.1,0.6134870743036185,RK1
29,0.1,0.6134870743036185,RK1
30,0.1,0.6134870743036185,RK1
31,0.1,0.6134870743036185,RK1
32,0.1,0.6134870743036185,RK1
33,0.1,0.6134870743036185,RK1
34,0.1,0.6134870743036185,RK1
35,0.1,0.6134870743036185,RK1
36,0.1,0.6134870743036185,RK1
37,0.1,0.6134870743036185,RK1
38,0.1,0.6134870743036185,RK1
39,0.1,0.6134870743036185,RK1
40,0.1,0.6134870743036185,RK1
41,0.1,0.6134870743036185,RK1
42,0.1,0.6134870743036185,RK1
43,0.1,0.6134870743036185,RK1
44,0.1,0.6134870743036185,RK1
45,0.1,0.6134870743036185,RK1
46,0.1,0.6134870743036185,RK1
47,0.1,0.6134870743036185,RK1
48,0.1,0.6134870743036185,RK1
49,0.1,0.6134870743036185,RK1
50,0.1,0.6134870743036185,RK1
51,0.1,0.6134870743036185,RK1
52,0.1,0.6134870743036185,RK1
53,0.1,0.6134870743036185,RK1
54,0.1,0.6134870743036185,RK1
55,0.1,0.6134870743036185,RK1
56,0.1,0.6134870743036185,RK1
57,0.1,0.6134870743036185,RK1
58,0.1,0.6134870743036185,RK1
59,0.1,0.6134870743036185,RK1
60,0.1,0.6134870743036185,RK1
61,0.1,0.6134870743036185,RK1
62,0.1,0.6134870743036185,RK1
63,0.1,0.6134870743036185,RK1
64,0.1,0.6134870743036185,RK1
65,0.1,0.6134870743036185,RK1
66,0.1,0.6134870743036185,RK1
67,0.1,0.6134870743036185,RK1
68,0.1,0.6134870743036185,RK1
69,0.1,0.6134870743036185,RK1
70,0.1,0.6134870743036185,RK1
71,0.1,0.6134870743036185,RK1
72,0.1,0.6134870743036185,RK1
73,0.1,0.6134870743036185,RK1
74,0.1,0.6134870743036185,RK1
75,0.1,0.6134870743036185,RK1
76,0.1,0.6134870743036185,RK1
77,0.1,0.6134870743036185,RK1
78,0.1,0.6134870743036185,RK1
79,0.1,0.6134870743036185,RK1
80,0.1,0.6134870743036185,RK1
81,0.1,0.6134870743036185,RK1
82,0.1,0.6134870743036185,RK1
83,0.1,0.6134870743036185,RK1
84,0.1,0.6134870743036185,RK1
85,0.1,0.6134870743036185,RK1
86,0.1,0.6134870743036185,RK1
87,0.1,0.6134870743036185,RK1
88,0.1,0.6134870743036185,RK1
89,0.1,0.6134870743036185,RK1
90,0.1,0.6134870743036185,RK1
91,0.1,0.6134870743036185,RK1
92,0.1,0.6134870743036185,RK1
93,0.1,0.6134870743036185,RK1
94,0.1,0.6134870743036185,RK1
95,0.1,0.6134870743036185,RK1
96,0.1,0.6134870743036185,RK1
97,0.1,0.6134870743036185,RK1
98,0.1,0.6134870743036185,RK1
99,0.1,0.6134870743036185,RK1
100,0.1,0.6134870743036185,RK1
101,0.1,0.6134870743036185,RK1
102,0.1,0.6134870743036185,RK1
103,0.1,0.6134870743036185,RK1
104,0.1,0.6134870743036185,RK1
105,0.1,0.6134870743036185,RK1
106,0.1,0.6134870743036185,RK1
107,0.1,0.6134870743036185,RK1
108,0.1,0.6134870743036185,RK1
109,0.1,0.6134870743036185,RK1
110,0.1,0.6134870743036185,RK1
111,0.1,0.6134870743036185,RK1
112,0.1,0.6134870743036185,RK1
113,0.1,0.6134870743036185,RK1
114,0.1,0.6134870743036185,RK1
115,0.1,0.6134870743036185,RK1
116,0.1,0.6134870743036185,RK1
117,0.1,0.6134870743036185,RK1
118,0.1,0.6134870743036185,RK1
119,0.1,0.6134870743036185,RK1
120,0.1,0.6134870743036185,RK1
121,0.1,0.6134870743036185,RK1
122,0.1,0.6134870743036185,RK1
123,0.1,0.6134870743036185,RK1
124,0.1,0.6134870743036185,RK1
125,0.1,0.6134870743036185,RK1
126,0.1,0.6134870743036185,RK1
127,0.1,0.6134870743036185,RK1
128,0.1,0.6134870743036185,RK1
129,0.1,0.6134870743036185,RK1
130,0.1,0.6134870743036185,RK1
